epoch,train_loss_all,test_loss_all,train_accur_all,test_accur_all
0,3.13798886,1.953315901,0.174444444,0.460873016
1,2.626047941,1.293588758,0.286825397,0.614880952
2,2.272697,0.956244354,0.36968254,0.715039683
3,2.010506812,0.663619895,0.437142857,0.807738095
4,1.808783592,0.614549856,0.490380952,0.816230159
5,1.652461228,0.546063079,0.533677249,0.835039683
6,1.527494929,0.436968166,0.56952381,0.872777778
7,1.422847022,0.443109157,0.599126984,0.884007937
8,1.332156699,0.475096821,0.624938272,0.88281746
9,1.255711802,0.424956253,0.647444444,0.888293651
10,1.187621269,0.416701968,0.666998557,0.891388889
11,1.129018203,0.405094181,0.683716931,0.899007937
12,1.077991672,0.434718606,0.698339438,0.893333333
13,1.031269881,0.412675662,0.711587302,0.898968254
14,0.98831095,0.369447537,0.72378836,0.912936508
15,0.948215012,0.404722759,0.735198413,0.906865079
16,0.912773272,0.467429445,0.745378151,0.892738095
17,0.880857083,0.452294288,0.754594356,0.887896825
18,0.852929557,0.452609846,0.762656642,0.90218254
19,0.821806525,0.344779125,0.771412698,0.91797619
20,0.790370708,0.381483149,0.780272109,0.923492063
21,0.761235577,0.385442048,0.788347763,0.921190476
22,0.734471013,0.366658705,0.795873016,0.927222222
23,0.709662678,0.386549188,0.802883598,0.920912698
24,0.686384994,0.352876889,0.809403175,0.929603175
25,0.664747967,0.337673436,0.815512821,0.927539683
26,0.644027305,0.356724455,0.821252205,0.928690476
27,0.624196437,0.372379541,0.826780045,0.928214286
28,0.606231898,0.356769159,0.831691297,0.929206349
29,0.589462428,0.398305354,0.83637037,0.924126984
30,0.573720038,0.368088257,0.840737327,0.932222222
31,0.558463834,0.378129089,0.844955357,0.927738095
32,0.544167184,0.374210564,0.848956229,0.929007937
33,0.530530463,0.380982119,0.852745098,0.929920635
34,0.517881894,0.358693175,0.856267574,0.929801587
35,0.505722265,0.397288706,0.859620811,0.929047619
36,0.49458412,0.415779377,0.862719863,0.925873016
37,0.48396247,0.395472842,0.86572264,0.925515873
38,0.473527578,0.411825257,0.868640619,0.924920635
39,0.462971137,0.374580517,0.871543651,0.932539683
40,0.452538435,0.380425659,0.874456059,0.932380952
41,0.442744787,0.375033338,0.877210884,0.934246032
42,0.433368742,0.362051388,0.879833887,0.935634921
43,0.424411999,0.374332724,0.88232684,0.933571429
44,0.415840533,0.356707519,0.884737213,0.935555556
45,0.407441444,0.351072903,0.887094548,0.936626984
46,0.399385107,0.352527312,0.889321175,0.936190476
47,0.391645233,0.350776848,0.891468254,0.935079365
48,0.384228191,0.362213209,0.893547133,0.932936508
49,0.377042797,0.359280973,0.895568254,0.936071429
50,0.370145588,0.361582413,0.89750389,0.934880952
51,0.363541033,0.357467968,0.899349817,0.934603175
52,0.357131036,0.350877176,0.901120096,0.934920635
53,0.35099505,0.370285649,0.90281893,0.933611111
54,0.345018953,0.35542194,0.904464646,0.936746032
55,0.339398876,0.344246462,0.906037415,0.935555556
56,0.333934842,0.352382248,0.907566138,0.935
57,0.328687319,0.341673262,0.909044882,0.936309524
58,0.323538764,0.344729924,0.910492333,0.937619048
59,0.318507208,0.351275404,0.911896825,0.9375
60,0.313635028,0.344758132,0.913265678,0.936904762
61,0.308947559,0.332987831,0.914569892,0.938571429
62,0.304333046,0.340764401,0.915857899,0.938452381
63,0.299879759,0.330210019,0.917105655,0.939285714
64,0.295523551,0.331378294,0.918319902,0.9375
65,0.291292927,0.332465331,0.919494949,0.938412698
66,0.287216852,0.333656919,0.920620706,0.938055556
67,0.28331014,0.323487786,0.921720355,0.939206349
68,0.279499867,0.324596728,0.922792731,0.939801587
69,0.275779085,0.332617102,0.923836735,0.93797619
70,0.272128595,0.328243087,0.924858037,0.937222222
71,0.268521589,0.32599482,0.925873016,0.938055556
72,0.265161948,0.332385934,0.926821048,0.938333333
73,0.261788405,0.32038837,0.927767053,0.939166667
74,0.258487942,0.319515666,0.92869418,0.938293651
75,0.255376702,0.312533613,0.929571846,0.939642857
76,0.2523024,0.312638516,0.9304329,0.939246032
77,0.2493286,0.313447496,0.931271876,0.939126984
78,0.246429987,0.314177362,0.932081575,0.939880952
79,0.243553051,0.318736699,0.932890873,0.939801587
80,0.240768233,0.317623897,0.933678228,0.938809524
81,0.238037839,0.310096083,0.934450252,0.94031746
82,0.235370206,0.312139,0.935196022,0.940396825
83,0.232742208,0.311817629,0.935941043,0.939880952
84,0.230184035,0.32043658,0.936644258,0.938531746
85,0.22767541,0.315585027,0.937351421,0.939801587
86,0.225229579,0.314138287,0.938036855,0.93984127
87,0.222873174,0.309616207,0.938701299,0.940674603
88,0.22052626,0.307048867,0.939361512,0.94047619
89,0.218231497,0.311208416,0.940008818,0.940555556
90,0.216001478,0.311013979,0.940634921,0.940198413
91,0.21382375,0.308706558,0.941243961,0.941190476
92,0.21167429,0.304687131,0.941845025,0.939722222
93,0.209577326,0.310894598,0.942438365,0.939722222
94,0.207532437,0.310280408,0.94300919,0.939484127
95,0.205502937,0.304902337,0.943576389,0.940793651
96,0.203537721,0.30690356,0.944122075,0.939801587
97,0.201625333,0.303137387,0.944658244,0.941349206
98,0.199752016,0.304464332,0.945183582,0.941349206
99,0.197883973,0.308346249,0.945707937,0.94031746
