,precision,recall,f1-score,support
airplane,0.98014440433213,0.9696428571428571,0.9748653500897666,560.0
airport,0.9396709323583181,0.9178571428571428,0.928635953026197,560.0
baseball_diamond,0.9782608695652174,0.9642857142857143,0.9712230215827338,560.0
basketball_court,0.9890909090909091,0.9714285714285714,0.9801801801801802,560.0
beach,0.9626998223801065,0.9678571428571429,0.9652715939447908,560.0
bridge,0.9674502712477396,0.9553571428571429,0.9613656783468105,560.0
chaparral,0.9771528998242531,0.9928571428571429,0.9849424269264837,560.0
church,0.8275862068965517,0.8142857142857143,0.8208820882088208,560.0
circular_farmland,0.9963898916967509,0.9857142857142858,0.9910233393177739,560.0
cloud,0.9766606822262118,0.9714285714285714,0.974037600716204,560.0
commercial_area,0.8840070298769771,0.8982142857142857,0.8910540301151462,560.0
dense_residential,0.8799342105263158,0.9553571428571429,0.9160958904109588,560.0
desert,0.9278169014084507,0.9410714285714286,0.9343971631205674,560.0
forest,0.9575971731448764,0.9678571428571429,0.9626998223801065,560.0
freeway,0.9375,0.9107142857142857,0.9239130434782609,560.0
golf_course,0.9839857651245552,0.9875,0.9857397504456328,560.0
ground_track_field,0.9764065335753176,0.9607142857142857,0.9684968496849685,560.0
harbor,0.990990990990991,0.9821428571428571,0.9865470852017937,560.0
industrial_area,0.8500797448165869,0.9517857142857142,0.8980623420387531,560.0
intersection,0.9595070422535211,0.9732142857142857,0.9663120567375887,560.0
island,0.9705882352941176,0.9428571428571428,0.9565217391304348,560.0
lake,0.9137323943661971,0.9267857142857143,0.9202127659574468,560.0
meadow,0.9349736379613357,0.95,0.9424269264836138,560.0
medium_residential,0.9438877755511023,0.8410714285714286,0.8895184135977336,560.0
mobile_home_park,0.9676258992805755,0.9607142857142857,0.96415770609319,560.0
mountain,0.9345454545454546,0.9178571428571428,0.9261261261261262,560.0
overpass,0.9410745233968805,0.9696428571428571,0.9551451187335093,560.0
palace,0.7567084078711985,0.7553571428571428,0.7560321715817694,560.0
parking_lot,0.9888888888888889,0.9535714285714286,0.9709090909090908,560.0
railway,0.9394495412844037,0.9142857142857143,0.9266968325791857,560.0
railway_station,0.9117647058823529,0.8857142857142857,0.8985507246376812,560.0
rectangular_farmland,0.8771331058020477,0.9178571428571428,0.8970331588132636,560.0
river,0.9203539823008849,0.9285714285714286,0.9244444444444444,560.0
roundabout,0.980072463768116,0.9660714285714286,0.9730215827338129,560.0
runway,0.9221238938053097,0.9303571428571429,0.9262222222222222,560.0
sea_ice,0.9946236559139785,0.9910714285714286,0.9928443649373883,560.0
ship,0.9570661896243292,0.9553571428571429,0.9562109025915997,560.0
snowberg,0.9838998211091234,0.9821428571428571,0.9830205540661303,560.0
sparse_residential,0.917098445595855,0.9482142857142857,0.932396839332748,560.0
stadium,0.9496527777777778,0.9767857142857143,0.9630281690140845,560.0
storage_tank,0.9716312056737588,0.9785714285714285,0.9750889679715302,560.0
tennis_court,0.9783001808318263,0.9660714285714286,0.9721473495058401,560.0
terrace,0.8961267605633803,0.9089285714285714,0.9024822695035462,560.0
thermal_power_station,0.9587073608617595,0.9535714285714286,0.9561324977618622,560.0
wetland,0.9333333333333333,0.9,0.9163636363636364,560.0
accuracy,0.9413492063492064,0.9413492063492064,0.9413492063492064,0.9413492063492064
macro avg,0.9419176649471058,0.9413492063492063,0.9413884409121206,25200.0
weighted avg,0.9419176649471059,0.9413492063492064,0.9413884409121207,25200.0
