epoch,train_loss_all,test_loss_all,train_accur_all,test_accur_all
0,3.044712859,2.42666769,0.133,0.421125
1,2.390681193,1.012427348,0.3045,0.68375
2,1.930908642,0.622481415,0.4325,0.8115
3,1.651747571,0.474196117,0.51425,0.864
4,1.44448857,0.399700152,0.5736,0.879625
5,1.297435875,0.363483793,0.617666667,0.885625
6,1.178345469,0.36897413,0.653285714,0.888375
7,1.080392395,0.364414091,0.681375,0.89475
8,0.999794998,0.322665106,0.704777778,0.909875
9,0.926520959,0.282650873,0.7255,0.917375
10,0.864327736,0.303753205,0.743863636,0.916
11,0.809808152,0.272922767,0.76,0.924375
12,0.762474028,0.265799341,0.773615385,0.92475
13,0.720124241,0.290532952,0.785678571,0.92225
14,0.682222055,0.287726063,0.796733333,0.921375
15,0.648984774,0.283093089,0.80659375,0.918875
16,0.619875486,0.284216901,0.815352941,0.924125
17,0.592833489,0.266705113,0.823361111,0.931625
18,0.568680037,0.289457869,0.830421053,0.926
19,0.545413493,0.264395179,0.8371,0.932125
20,0.524073854,0.253841328,0.843309524,0.933
21,0.503786208,0.273902123,0.849113636,0.933
22,0.484949645,0.258597213,0.854695652,0.933125
23,0.468404147,0.249940079,0.8595625,0.93625
24,0.45219004,0.260377284,0.8644,0.934625
25,0.437257792,0.256811349,0.868769231,0.936375
26,0.423370735,0.271252116,0.872888889,0.934625
27,0.41187098,0.254477907,0.876410714,0.935375
28,0.399952845,0.250013343,0.880051724,0.935625
29,0.388707942,0.254943943,0.883416667,0.93675
30,0.377842859,0.25469181,0.886677419,0.93725
31,0.367609548,0.256870437,0.88965625,0.9365
32,0.357972017,0.257878867,0.892575758,0.939625
33,0.34869338,0.271772666,0.895367647,0.936875
34,0.340271225,0.259289644,0.8979,0.939125
35,0.332020676,0.269114715,0.900361111,0.935625
36,0.324184731,0.271852438,0.90277027,0.937875
37,0.316718674,0.273106775,0.904986842,0.93675
38,0.310191626,0.270004489,0.907038462,0.937375
39,0.303092233,0.26999242,0.90915,0.93925
40,0.296696122,0.266528796,0.911036585,0.94
41,0.290621842,0.271123711,0.912833333,0.939
42,0.284882087,0.275662079,0.914569767,0.938
43,0.2795362,0.269669838,0.916147727,0.937625
44,0.274128213,0.270950292,0.917722222,0.9385
45,0.269025402,0.274703608,0.919293478,0.937875
46,0.264075021,0.270099984,0.920765957,0.94025
47,0.259521256,0.280489251,0.922135417,0.937125
48,0.254882766,0.278981944,0.923469388,0.939125
49,0.25053291,0.274502612,0.92479,0.93925
50,0.246267124,0.281772835,0.92604902,0.9375
51,0.242230656,0.269175309,0.927269231,0.9405
52,0.238534681,0.275843922,0.928386792,0.938625
53,0.234650059,0.272613159,0.929555556,0.939875
54,0.231007711,0.27058182,0.930663636,0.9395
55,0.227467204,0.270971087,0.931705357,0.938625
56,0.22412173,0.278184076,0.932684211,0.93675
57,0.220899015,0.269833797,0.93362931,0.938875
58,0.217726793,0.269894777,0.934576271,0.939625
59,0.214498396,0.274499007,0.935558333,0.939
60,0.211637762,0.275339174,0.936393443,0.938125
61,0.208951477,0.274395788,0.937201613,0.939125
62,0.206138187,0.271945053,0.938055556,0.940125
63,0.203366375,0.27280456,0.93890625,0.940875
64,0.200744016,0.273699252,0.9397,0.938375
65,0.198171492,0.274309487,0.940492424,0.939875
66,0.19565417,0.273588443,0.941223881,0.940125
67,0.193291533,0.271974424,0.941933824,0.940125
68,0.191065307,0.272340925,0.942557971,0.93775
69,0.188799738,0.268374614,0.943242857,0.939625
70,0.18655122,0.271354239,0.943915493,0.939375
71,0.184455304,0.268357552,0.944527778,0.94
72,0.18253427,0.270947011,0.945089041,0.94
73,0.180407869,0.269727827,0.94572973,0.940125
74,0.178382499,0.272836052,0.946313333,0.939375
75,0.176621291,0.269930875,0.946861842,0.938375
76,0.174666212,0.273972067,0.947454545,0.9395
77,0.172822025,0.268780078,0.948012821,0.9385
78,0.171080021,0.269182076,0.948537975,0.940625
79,0.16933059,0.275000204,0.9490875,0.93825
80,0.167582319,0.266286582,0.949598765,0.93975
81,0.165894583,0.270651167,0.950097561,0.939
82,0.164176479,0.272974502,0.950614458,0.939625
83,0.162708994,0.272485997,0.951047619,0.93975
84,0.16124271,0.273557527,0.951458824,0.94
85,0.159714999,0.269610978,0.951918605,0.9395
86,0.158230642,0.274486242,0.952350575,0.938875
87,0.156720296,0.270045917,0.952801136,0.94
88,0.155234775,0.269771558,0.953241573,0.94
89,0.153901011,0.267864419,0.953666667,0.93975
90,0.152438015,0.273694003,0.954087912,0.9395
91,0.151016918,0.274083012,0.954527174,0.9385
92,0.149705888,0.274581676,0.954919355,0.938875
93,0.148465993,0.269403184,0.95531383,0.94075
94,0.147226456,0.271179149,0.955684211,0.939375
95,0.14593079,0.27263378,0.956078125,0.939
96,0.144694296,0.267435228,0.956443299,0.940125
97,0.143500584,0.274538276,0.956780612,0.93975
98,0.142378737,0.272066015,0.957131313,0.93975
99,0.141313427,0.271346161,0.957475,0.938875
