,precision,recall,f1-score,support
Airport,0.9623655913978495,0.9944444444444445,0.9781420765027323,180.0
BareLand,0.9866666666666667,0.9548387096774194,0.9704918032786887,155.0
BaseballField,0.990990990990991,1.0,0.9954751131221719,110.0
Beach,0.9900990099009901,1.0,0.9950248756218906,200.0
Bridge,0.9835164835164835,0.9944444444444445,0.9889502762430938,180.0
Center,0.8814814814814815,0.9153846153846154,0.8981132075471698,130.0
Church,0.9316239316239316,0.9083333333333333,0.919831223628692,120.0
Commercial,0.9388888888888889,0.9657142857142857,0.952112676056338,175.0
DenseResidential,0.9710144927536232,0.9804878048780488,0.9757281553398058,205.0
Desert,0.9612903225806452,0.9933333333333333,0.9770491803278689,150.0
Farmland,0.9945054945054945,0.9783783783783784,0.9863760217983651,185.0
Forest,1.0,0.992,0.9959839357429718,125.0
Industrial,0.9411764705882353,0.9025641025641026,0.9214659685863874,195.0
Meadow,0.9859154929577465,1.0,0.9929078014184397,140.0
MediumResidential,0.993103448275862,0.993103448275862,0.993103448275862,145.0
Mountain,0.9941520467836257,1.0,0.9970674486803519,170.0
Park,0.8736263736263736,0.9085714285714286,0.8907563025210085,175.0
Parking,0.9798994974874372,1.0,0.9898477157360407,195.0
Playground,0.9635416666666666,1.0,0.9814323607427056,185.0
Pond,0.976303317535545,0.9809523809523809,0.9786223277909738,210.0
Port,0.9894179894179894,0.9842105263157894,0.9868073878627968,190.0
RailwayStation,0.9621212121212122,0.9769230769230769,0.9694656488549619,130.0
Resort,0.8854961832061069,0.8,0.8405797101449277,145.0
River,0.9902439024390244,0.9902439024390244,0.9902439024390244,205.0
School,0.863013698630137,0.84,0.8513513513513513,150.0
SparseResidential,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
Square,0.9166666666666666,0.8666666666666667,0.8909657320872274,165.0
Stadium,1.0,0.9586206896551724,0.9788732394366197,145.0
StorageTanks,0.994475138121547,1.0,0.9972299168975068,180.0
Viaduct,0.995260663507109,1.0,0.997624703087886,210.0
accuracy,0.9646,0.9646,0.9646,0.9646
macro avg,0.963006348522389,0.9624182968428381,0.9624985614819065,5000.0
weighted avg,0.9644261531801338,0.9646,0.9643110939888812,5000.0
